Source,Target,Weight,Type
Douglass_narrative,EK_adrift,9,undirected
Douglass_narrative,EK_ourVisit,17,undirected
Douglass_narrative,EK_suppressed,21,undirected
Douglass_narrative,freedman_body1,39,undirected
Douglass_narrative,freedman_body2,22,undirected
Douglass_narrative,freedman_intro1,3,undirected
Douglass_narrative,freedman_intro2,1,undirected
Douglass_narrative,TWH_denmark,23,undirected
Douglass_narrative,TWH_gabriel,2,undirected
Douglass_narrative,TWH_leaves,16,undirected
Douglass_narrative,TWH_natTurner,17,undirected
EK_adrift,Douglass_narrative,9,undirected
EK_adrift,EK_ourVisit,4,undirected
EK_adrift,freedman_body1,38,undirected
EK_adrift,freedman_body2,27,undirected
EK_ourVisit,Douglass_narrative,17,undirected
EK_ourVisit,EK_adrift,4,undirected
EK_ourVisit,EK_suppressed,34,undirected
EK_ourVisit,freedman_body1,14,undirected
EK_ourVisit,freedman_body2,2,undirected
EK_ourVisit,TWH_gabriel,1,undirected
EK_ourVisit,TWH_leaves,57,undirected
EK_suppressed,Douglass_narrative,21,undirected
EK_suppressed,EK_ourVisit,34,undirected
EK_suppressed,freedman_body1,4,undirected
EK_suppressed,freedman_body2,10,undirected
freedman_body1,Douglass_narrative,39,undirected
freedman_body1,EK_adrift,38,undirected
freedman_body1,EK_ourVisit,14,undirected
freedman_body1,EK_suppressed,4,undirected
freedman_body1,freedman_body2,60,undirected
freedman_body1,freedman_intro2,2,undirected
freedman_body2,Douglass_narrative,22,undirected
freedman_body2,EK_adrift,27,undirected
freedman_body2,EK_ourVisit,2,undirected
freedman_body2,EK_suppressed,10,undirected
freedman_body2,freedman_body1,60,undirected
freedman_body2,freedman_intro2,5,undirected
freedman_intro1,Douglass_narrative,3,undirected
freedman_intro1,TWH_denmark,16,undirected
freedman_intro1,TWH_gabriel,9,undirected
freedman_intro1,TWH_leaves,7,undirected
freedman_intro1,TWH_natTurner,26,undirected
freedman_intro2,Douglass_narrative,1,undirected
freedman_intro2,freedman_body1,2,undirected
freedman_intro2,freedman_body2,5,undirected
freedman_intro2,TWH_denmark,26,undirected
freedman_intro2,TWH_gabriel,2,undirected
freedman_intro2,TWH_natTurner,34,undirected
TWH_denmark,Douglass_narrative,23,undirected
TWH_denmark,freedman_intro1,16,undirected
TWH_denmark,freedman_intro2,26,undirected
TWH_denmark,TWH_gabriel,51,undirected
TWH_denmark,TWH_natTurner,59,undirected
TWH_gabriel,Douglass_narrative,2,undirected
TWH_gabriel,EK_ourVisit,1,undirected
TWH_gabriel,freedman_intro1,9,undirected
TWH_gabriel,freedman_intro2,2,undirected
TWH_gabriel,TWH_denmark,51,undirected
TWH_gabriel,TWH_leaves,14,undirected
TWH_gabriel,TWH_natTurner,40,undirected
TWH_leaves,Douglass_narrative,16,undirected
TWH_leaves,EK_ourVisit,57,undirected
TWH_leaves,freedman_intro1,7,undirected
TWH_leaves,TWH_gabriel,14,undirected
TWH_leaves,TWH_natTurner,8,undirected
TWH_natTurner,Douglass_narrative,17,undirected
TWH_natTurner,freedman_intro1,26,undirected
TWH_natTurner,freedman_intro2,34,undirected
TWH_natTurner,TWH_denmark,59,undirected
TWH_natTurner,TWH_gabriel,40,undirected
TWH_natTurner,TWH_leaves,8,undirected
