"EK-adrift" "EK-ourVisit" "EK-suppressed" "freedman-body1" "freedman-body2" "freedman-intro1" "freedman-intro2" "TWH-denmark" "TWH-gabriel" "TWH-leaves" "TWH-nat_turner"
"EK-adrift" 0 1.25432804364737 1.26290240450926 0.920555580672673 0.95822984977885 1.68981526297822 1.29340865594971 1.2205225178425 1.30787296211825 1.18956122891853 1.18065600155192
"EK-ourVisit" 1.25432804364737 0 0.879348435772032 1.01970636876766 1.18064139066753 1.3215763445492 1.54271825967866 1.03313597593807 1.02680329841915 0.826930764654805 1.14489678828288
"EK-suppressed" 1.26290240450926 0.879348435772032 0 1.08737742951929 1.09811495847922 1.47465055455935 1.48119987073944 1.12647742796216 1.11472189596598 1.12020453452394 1.21328498120815
"freedman-body1" 0.920555580672673 1.01970636876766 1.08737742951929 0 0.600550330169136 1.58856610265666 1.16585485161241 1.0637895356526 1.26573591408235 1.16446798539717 1.08896678932328
"freedman-body2" 0.95822984977885 1.18064139066753 1.09811495847922 0.600550330169136 0 1.61480453129964 1.0409846032575 1.15273225728385 1.33425897525658 1.15390266154481 1.10934796423948
"freedman-intro1" 1.68981526297822 1.3215763445492 1.47465055455935 1.58856610265666 1.61480453129964 0 1.61022362161297 1.25308184449137 1.24409793599641 1.22920278290053 1.21047041915231
"freedman-intro2" 1.29340865594971 1.54271825967866 1.48119987073944 1.16585485161241 1.0409846032575 1.61022362161297 0 0.931107109223628 1.11786652990366 1.36254686093477 0.817676724016842
"TWH-denmark" 1.2205225178425 1.03313597593807 1.12647742796216 1.0637895356526 1.15273225728385 1.25308184449137 0.931107109223628 0 0.505537849910551 0.915669182762847 0.532778761043239
"TWH-gabriel" 1.30787296211825 1.02680329841915 1.11472189596598 1.26573591408235 1.33425897525658 1.24409793599641 1.11786652990366 0.505537849910551 0 0.875693948492564 0.613069936397584
"TWH-leaves" 1.18956122891853 0.826930764654805 1.12020453452394 1.16446798539717 1.15390266154481 1.22920278290053 1.36254686093477 0.915669182762847 0.875693948492564 0 0.871714172911425
"TWH-nat_turner" 1.18065600155192 1.14489678828288 1.21328498120815 1.08896678932328 1.10934796423948 1.21047041915231 0.817676724016842 0.532778761043239 0.613069936397584 0.871714172911425 0
