Source,Target,Weight,Type
EK-adrift,EK-ourVisit,8,undirected
EK-adrift,freedman-body1,46,undirected
EK-adrift,freedman-body2,34,undirected
EK-adrift,TWH-leaves,3,undirected
EK-adrift,TWH-nat_turner,3,undirected
EK-ourVisit,EK-adrift,8,undirected
EK-ourVisit,EK-suppressed,43,undirected
EK-ourVisit,freedman-body1,26,undirected
EK-ourVisit,freedman-body2,7,undirected
EK-ourVisit,TWH-denmark,2,undirected
EK-ourVisit,TWH-leaves,59,undirected
EK-suppressed,EK-ourVisit,43,undirected
EK-suppressed,freedman-body1,13,undirected
EK-suppressed,freedman-body2,20,undirected
EK-suppressed,TWH-denmark,1,undirected
EK-suppressed,TWH-leaves,1,undirected
freedman-body1,EK-adrift,46,undirected
freedman-body1,EK-ourVisit,26,undirected
freedman-body1,EK-suppressed,13,undirected
freedman-body1,freedman-body2,60,undirected
freedman-body1,freedman-intro2,1,undirected
freedman-body2,EK-adrift,34,undirected
freedman-body2,EK-ourVisit,7,undirected
freedman-body2,EK-suppressed,20,undirected
freedman-body2,freedman-body1,60,undirected
freedman-body2,freedman-intro2,10,undirected
freedman-body2,TWH-leaves,1,undirected
freedman-intro1,TWH-denmark,16,undirected
freedman-intro1,TWH-gabriel,10,undirected
freedman-intro1,TWH-leaves,13,undirected
freedman-intro1,TWH-nat_turner,22,undirected
freedman-intro2,freedman-body1,1,undirected
freedman-intro2,freedman-body2,10,undirected
freedman-intro2,TWH-denmark,28,undirected
freedman-intro2,TWH-gabriel,3,undirected
freedman-intro2,TWH-nat_turner,37,undirected
TWH-denmark,EK-ourVisit,2,undirected
TWH-denmark,EK-suppressed,1,undirected
TWH-denmark,freedman-intro1,16,undirected
TWH-denmark,freedman-intro2,28,undirected
TWH-denmark,TWH-gabriel,52,undirected
TWH-denmark,TWH-leaves,6,undirected
TWH-denmark,TWH-nat_turner,57,undirected
TWH-gabriel,freedman-intro1,10,undirected
TWH-gabriel,freedman-intro2,3,undirected
TWH-gabriel,TWH-denmark,52,undirected
TWH-gabriel,TWH-leaves,21,undirected
TWH-gabriel,TWH-nat_turner,41,undirected
TWH-leaves,EK-adrift,3,undirected
TWH-leaves,EK-ourVisit,59,undirected
TWH-leaves,EK-suppressed,1,undirected
TWH-leaves,freedman-body2,1,undirected
TWH-leaves,freedman-intro1,13,undirected
TWH-leaves,TWH-denmark,6,undirected
TWH-leaves,TWH-gabriel,21,undirected
TWH-leaves,TWH-nat_turner,16,undirected
TWH-nat_turner,EK-adrift,3,undirected
TWH-nat_turner,freedman-intro1,22,undirected
TWH-nat_turner,freedman-intro2,37,undirected
TWH-nat_turner,TWH-denmark,57,undirected
TWH-nat_turner,TWH-gabriel,41,undirected
TWH-nat_turner,TWH-leaves,16,undirected
