"Douglass_narrative" "EK_adrift" "EK_ourVisit" "EK_suppressed" "freedman_body1" "freedman_body2" "freedman_intro1" "freedman_intro2" "TWH_denmark" "TWH_gabriel" "TWH_leaves" "TWH_natTurner"
"the" 5.41390908104589 6.30525825965565 5.46532611497809 4.9185667752443 4.81512429496553 5.18518518518519 8.21309655937847 7.19322990126939 7.49753075334471 7.38972694290624 5.33403287862889 6.59376005146349
"and" 3.34707605511555 4.49257582808071 3.7251869038412 2.83387622149837 3.84374347190307 4.09306742640076 3.66259711431743 3.52609308885755 3.60958965610128 2.95970975749475 3.25288562434418 3.37729173367642
"to" 3.73223391559076 2.91890519903549 2.87445217839649 4.22366992399566 3.40505535826196 3.42830009496676 2.5527192008879 4.23131170662905 2.9630959863518 2.8069505442047 2.4833857992305 2.65894714270398
"of" 3.79461863947054 2.47260882440036 2.59087393658159 2.23669923995657 2.18299561311886 1.97530864197531 4.43951165371809 3.13822284908322 3.79815030977822 4.96467443192668 2.83315844700944 3.54883671062507
"i" 2.75306498860801 3.62748001184483 1.75302913121939 3.11617806731813 2.61123877167328 2.68755935422602 1.44284128745838 0.0352609308885755 0.179581574930412 0.0954745083062822 1.8887722980063 0.182266538007934
"a" 2.03428447434089 2.95063242945979 1.9979376127868 1.60694896851249 2.14121579277209 1.50997150997151 2.66370699223085 1.8688293370945 1.89458561551585 2.15772388772198 2.22105631339629 1.94060255173153
"was" 1.91222740588044 1.90151867676298 0.592936323794792 0.846905537459283 1.83831209525799 1.2630579297246 0.776914539400666 1.48095909732017 1.71500404058544 1.77582585449685 0.68205666316894 1.45813230406347
"in" 1.67896278615602 1.46579804560261 1.40500128899201 1.47665580890337 1.33695425109672 1.43399810066477 2.21975582685905 1.65726375176305 1.86764837927629 2.0622493794157 1.67890870933893 1.96204567385011
"he" 1.25040685689487 0.953932061423918 0.670275844289765 2.01954397394137 1.13850010444955 1.44349477682811 1.10987791342952 1.90409026798307 1.23013378827332 0.649226656482719 0.419727177334732 1.11504235016618
"it" 1.01442985787132 1.17813782308896 1.26321216808456 1.37893593919653 0.689367035721746 0.664767331433998 1.66481687014428 0.599435825105783 0.870970638412499 1.12659919801413 1.2591815320042 0.814838640506058
"that" 0.930346099598568 0.63665975718093 1.22454240783707 1.95439739413681 1.3682891163568 0.949667616334283 0.887902330743618 0.881523272214386 1.40073628445721 1.22207370632041 1.03182931094788 1.2115363996998
