"EK-adrift" "EK-ourVisit" "EK-suppressed" "freedman-body1" "freedman-body2" "freedman-intro1" "freedman-intro2" "TWH-denmark" "TWH-gabriel" "TWH-leaves" "TWH-nat_turner"
"EK-adrift" 0 1.30092855896954 1.3236351965813 0.910271676038638 1.00153546191895 1.65032109255475 1.21041065802423 1.26100440521562 1.3790625193337 1.18052081715446 1.1955821634284
"EK-ourVisit" 1.30092855896954 0 0.875345190125469 1.02434283202216 1.08900536678469 1.25791462024036 1.52432031109163 0.99934789168143 1.10685747920658 0.844613392399991 1.13459227165286
"EK-suppressed" 1.3236351965813 0.875345190125469 0 1.13838117908535 1.07894055833308 1.48950113604302 1.4930804828004 1.16101366200427 1.22378575191027 1.13542525896588 1.24257431354091
"freedman-body1" 0.910271676038638 1.02434283202216 1.13838117908535 0 0.612228541633469 1.51960135504314 1.06473285280403 1.08365914800235 1.29800776583389 1.16674332174079 1.05936203820479
"freedman-body2" 1.00153546191895 1.08900536678469 1.07894055833308 0.612228541633469 0 1.54913442189541 1.06450208357578 1.16890042681909 1.37999657893129 1.11453226943815 1.10421180616873
"freedman-intro1" 1.65032109255475 1.25791462024036 1.48950113604302 1.51960135504314 1.54913442189541 0 1.5667834762193 1.11343766817259 1.21117085740487 1.16435859693052 1.121608030066
"freedman-intro2" 1.21041065802423 1.52432031109163 1.4930804828004 1.06473285280403 1.06450208357578 1.5667834762193 0 1.00266717380696 1.17579246677644 1.32590646570118 0.865415574867162
"TWH-denmark" 1.26100440521562 0.99934789168143 1.16101366200427 1.08365914800235 1.16890042681909 1.11343766817259 1.00266717380696 0 0.560288821566972 0.887014748593 0.512738639104308
"TWH-gabriel" 1.3790625193337 1.10685747920658 1.22378575191027 1.29800776583389 1.37999657893129 1.21117085740487 1.17579246677644 0.560288821566972 0 0.904602056158432 0.651482899052678
"TWH-leaves" 1.18052081715446 0.844613392399991 1.13542525896588 1.16674332174079 1.11453226943815 1.16435859693052 1.32590646570118 0.887014748593 0.904602056158432 0 0.88172916129549
"TWH-nat_turner" 1.1955821634284 1.13459227165286 1.24257431354091 1.05936203820479 1.10421180616873 1.121608030066 0.865415574867162 0.512738639104308 0.651482899052678 0.88172916129549 0
