Source,Target,Weight,Type
EK-adrift,freedman-body1,5,undirected
EK-adrift,freedman-body2,4,undirected
EK-adrift,TWH-nat_turner,1,undirected
EK-ourVisit,EK-suppressed,6,undirected
EK-ourVisit,freedman-body1,2,undirected
EK-ourVisit,freedman-body2,1,undirected
EK-ourVisit,TWH-leaves,5,undirected
EK-suppressed,EK-ourVisit,6,undirected
EK-suppressed,freedman-body1,1,undirected
EK-suppressed,freedman-body2,2,undirected
freedman-body1,EK-adrift,5,undirected
freedman-body1,EK-ourVisit,2,undirected
freedman-body1,EK-suppressed,1,undirected
freedman-body1,freedman-body2,6,undirected
freedman-body1,freedman-intro2,1,undirected
freedman-body2,EK-adrift,4,undirected
freedman-body2,EK-ourVisit,1,undirected
freedman-body2,EK-suppressed,2,undirected
freedman-body2,freedman-body1,6,undirected
freedman-intro1,TWH-denmark,2,undirected
freedman-intro1,TWH-leaves,1,undirected
freedman-intro1,TWH-nat_turner,3,undirected
freedman-intro2,freedman-body1,1,undirected
freedman-intro2,TWH-denmark,2,undirected
freedman-intro2,TWH-nat_turner,3,undirected
TWH-denmark,freedman-intro1,2,undirected
TWH-denmark,freedman-intro2,2,undirected
TWH-denmark,TWH-gabriel,5,undirected
TWH-denmark,TWH-leaves,2,undirected
TWH-denmark,TWH-nat_turner,6,undirected
TWH-gabriel,TWH-denmark,5,undirected
TWH-gabriel,TWH-leaves,1,undirected
TWH-gabriel,TWH-nat_turner,4,undirected
TWH-leaves,EK-ourVisit,5,undirected
TWH-leaves,freedman-intro1,1,undirected
TWH-leaves,TWH-denmark,2,undirected
TWH-leaves,TWH-gabriel,1,undirected
TWH-leaves,TWH-nat_turner,3,undirected
TWH-nat_turner,EK-adrift,1,undirected
TWH-nat_turner,freedman-intro1,3,undirected
TWH-nat_turner,freedman-intro2,3,undirected
TWH-nat_turner,TWH-denmark,6,undirected
TWH-nat_turner,TWH-gabriel,4,undirected
TWH-nat_turner,TWH-leaves,3,undirected
